,Assignments,Week,Date
0,,Week 1,2021-08-31 00:00:00
1,,Week 1,2021-09-02 00:00:00
2,,Week 2,2021-09-07 00:00:00
3,Quiz,Week 2,2021-09-09 00:00:00
4,,Week 3,2021-09-14 00:00:00
5,Quiz,Week 3,2021-09-16 00:00:00
6,,Week 4,2021-09-21 00:00:00
7,Quiz,Week 4,2021-09-23 00:00:00
8,,Week 5,2021-09-28 00:00:00
9, Quiz,Week 5,2021-09-30 00:00:00
10,,Week 6,2021-10-05 00:00:00
11,FALL BREAK,Week 6,2021-10-07 00:00:00
12,Quiz,Week 7,2021-10-12 00:00:00
13,,Week 7,2021-10-14 00:00:00
14,,Week 8,2021-10-19 00:00:00
15,Quiz,Week 8,2021-10-21 00:00:00
16,,Week 9,2021-10-26 00:00:00
17,"Quiz
",Week 9,2021-10-28 00:00:00
18,STUDY DAY,Week 10,2021-11-02 00:00:00
19,Quiz,Week 10,2021-11-04 00:00:00
20,,Week 11,2021-11-09 00:00:00
21,Quiz,Week 11,2021-11-11 00:00:00
22,,Week 12,2021-11-16 00:00:00
23,Quiz,Week 12,2021-11-18 00:00:00
24,,Week 13,2021-11-23 00:00:00
25,,Week 13,2021-11-25 00:00:00
26,,Week 14,2021-11-30 00:00:00
27,Quiz,Week 14,2021-12-02 00:00:00
28,Logic Programming Languages,Week 15,2021-12-07 00:00:00
29,Review for FINAL,,2021-12-09 00:00:00
30,FINAL EXAM @ 10:00AM,Week 16,2021-12-15 00:00:00
